EG;sesso;primogenito;L;M;S;3;10;25;50;75;90;97
27,5;M;SI;1.425;35.3;0.0646;30.9;32.3;33.7;35.3;36.8;38.1;39.4
28,5;M;SI;1.468;36.6;0.0632;32.1;33.6;35;36.6;38.2;39.6;40.9
29,5;M;SI;1.528;38;0.0618;33.5;35;36.4;38;39.6;41;42.3
30,5;M;SI;1.612;39.5;0.0601;34.9;36.4;37.9;39.5;41.1;42.5;43.8
31,5;M;SI;1.731;41;0.0581;36.3;37.8;39.3;41;42.5;43.9;45.3
32,5;M;SI;1.897;42.4;0.0559;37.7;39.3;40.8;42.4;44;45.4;46.7
33,5;M;SI;2.122;43.9;0.0532;39.2;40.7;42.2;43.9;45.4;46.8;48
34,5;M;SI;2.413;45.2;0.0502;40.7;42.2;43.7;45.2;46.8;48;49.3
35,5;M;SI;2.763;46.5;0.0469;42.1;43.6;45;46.5;48;49.2;50.4
36,5;M;SI;3.139;47.7;0.0434;43.4;44.9;46.2;47.7;49.1;50.2;51.3
37,5;M;SI;3.474;48.7;0.04;44.6;46;47.3;48.7;50;51.1;52.1
38,5;M;SI;3.679;49.5;0.0368;45.7;47;48.2;49.5;50.7;51.7;52.7
39,5;M;SI;3.675;50.2;0.0343;46.6;47.8;49;50.2;51.3;52.3;53.2
40,5;M;SI;3.447;50.7;0.0323;47.3;48.5;49.5;50.7;51.7;52.7;53.5
41,5;M;SI;3.052;51;0.031;47.9;48.9;49.9;51;52.1;53;53.9
42,5;M;SI;2.591;51.3;0.0303;48.2;49.2;50.2;51.3;52.3;53.2;54.1
